Date,Series_Name,Value,Unit
2009-01-31,Real Effective Exchange Rate Base 2010,97.6282012,Index
2009-01-31,Nominal Effective Exchange Rate Base 2010,111.7,Index
2009-02-28,Nominal Effective Exchange Rate Base 2010,113.4,Index
2009-02-28,Real Effective Exchange Rate Base 2010,100.1542012,Index
2009-02-28,NEER : Percentage Change over  Month,1.521933751,Percent
2009-02-28,REER : Percentage Change over Month,2.587367134,Percent
2009-03-31,REER : Percentage Change over Month,-0.533031619,Percent
2009-03-31,NEER : Percentage Change over  Month,-0.740740741,Percent
2009-03-31,Real Effective Exchange Rate Base 2010,99.62034763,Index
2009-03-31,Nominal Effective Exchange Rate Base 2010,112.56,Index
2009-04-30,REER : Percentage Change over Month,-0.778529863,Percent
2009-04-30,NEER : Percentage Change over  Month,-1.563610519,Percent
2009-04-30,Real Effective Exchange Rate Base 2010,98.84477348,Index
2009-04-30,Nominal Effective Exchange Rate Base 2010,110.8,Index
2009-05-31,REER : Percentage Change over Month,-2.679553492,Percent
2009-05-31,NEER : Percentage Change over  Month,-2.509025271,Percent
2009-05-31,Real Effective Exchange Rate Base 2010,96.1961749,Index
2009-05-31,Nominal Effective Exchange Rate Base 2010,108.02,Index
2009-06-30,Real Effective Exchange Rate Base 2010,95.12141853,Index
2009-06-30,Nominal Effective Exchange Rate Base 2010,106.1,Index
2009-06-30,REER : Percentage Change over Month,-1.117254782,Percent
2009-06-30,NEER : Percentage Change over  Month,-1.777448621,Percent
2009-07-31,REER : Percentage Change over Month,-0.094976192,Percent
2009-07-31,NEER : Percentage Change over  Month,-1.6399623,Percent
2009-07-31,Real Effective Exchange Rate Base 2010,95.03107583,Index
2009-07-31,Nominal Effective Exchange Rate Base 2010,104.36,Index
2009-08-31,REER : Percentage Change over Month,-0.161327125,Percent
2009-08-31,NEER : Percentage Change over  Month,-1.552318896,Percent
2009-08-31,Real Effective Exchange Rate Base 2010,94.87776493,Index
2009-08-31,Nominal Effective Exchange Rate Base 2010,102.74,Index
2009-09-30,Nominal Effective Exchange Rate Base 2010,101.65,Index
2009-09-30,REER : Percentage Change over Month,-1.031394863,Percent
2009-09-30,NEER : Percentage Change over  Month,-1.060930504,Percent
2009-09-30,Real Effective Exchange Rate Base 2010,93.89920054,Index
2009-10-31,REER : Percentage Change over Month,-1.080270469,Percent
2009-10-31,NEER : Percentage Change over  Month,-1.515002459,Percent
2009-10-31,Real Effective Exchange Rate Base 2010,92.8848352,Index
2009-10-31,Nominal Effective Exchange Rate Base 2010,100.11,Index
2009-11-30,Nominal Effective Exchange Rate Base 2010,99.35,Index
2009-11-30,NEER : Percentage Change over  Month,-0.759164919,Percent
2009-11-30,REER : Percentage Change over Month,0.378069112,Percent
2009-11-30,Real Effective Exchange Rate Base 2010,93.23600407,Index
2009-12-31,REER : Percentage Change over Month,-0.836609593,Percent
2009-12-31,NEER : Percentage Change over  Month,0.120785103,Percent
2009-12-31,Real Effective Exchange Rate Base 2010,92.45598272,Index
2009-12-31,Nominal Effective Exchange Rate Base 2010,99.47,Index
2010-01-31,REER : Percentage Change over Month,2.275360426,Percent
2010-01-31,NEER : Percentage Change over  Month,-0.201065648,Percent
2010-01-31,Real Effective Exchange Rate Base 2010,94.55968956,Index
2010-01-31,Nominal Effective Exchange Rate Base 2010,99.27,Index
2010-02-28,Nominal Effective Exchange Rate Base 2010,100.35,Index
2010-02-28,REER : Percentage Change over Month,1.070384211,Percent
2010-02-28,NEER : Percentage Change over  Month,1.087941976,Percent
2010-02-28,Real Effective Exchange Rate Base 2010,95.57184155,Index
2010-03-31,REER : Percentage Change over Month,1.603844445,Percent
2010-03-31,NEER : Percentage Change over  Month,0.657698057,Percent
2010-03-31,Real Effective Exchange Rate Base 2010,97.10466522,Index
2010-03-31,Nominal Effective Exchange Rate Base 2010,101.01,Index
2010-04-30,Nominal Effective Exchange Rate Base 2010,101.58,Index
2010-04-30,REER : Percentage Change over Month,2.123132839,Percent
2010-04-30,NEER : Percentage Change over  Month,0.564300564,Percent
2010-04-30,Real Effective Exchange Rate Base 2010,99.16632626,Index
2010-05-31,REER : Percentage Change over Month,2.024227426,Percent
2010-05-31,NEER : Percentage Change over  Month,2.008269344,Percent
