Date,Series_Name,Value,Unit
2006-05-31,Import payments of Agri. & Other Chemical,327587.323,Thousand USD
2006-06-30,Import payments of Agri. & Other Chemical,382142.693,Thousand USD
2006-07-31,Import payments of Agri. & Other Chemical,311265.065,Thousand USD
2006-08-31,Import payments of Agri. & Other Chemical,334016.612,Thousand USD
2006-09-30,Import payments of Agri. & Other Chemical,323137.398,Thousand USD
2006-10-31,Import payments of Agri. & Other Chemical,358766.467,Thousand USD
2006-11-30,Import payments of Agri. & Other Chemical,367037.446,Thousand USD
2006-12-31,Import payments of Agri. & Other Chemical,346316.288,Thousand USD
2007-01-31,Import payments of Agri. & Other Chemical,322154.386,Thousand USD
2007-02-28,Import payments of Agri. & Other Chemical,302262.319,Thousand USD
2007-03-31,Import payments of Agri. & Other Chemical,313609.268,Thousand USD
2007-04-30,Import payments of Agri. & Other Chemical,341000.798,Thousand USD
2007-05-31,Import payments of Agri. & Other Chemical,352974.781,Thousand USD
2007-06-30,Import payments of Agri. & Other Chemical,371974.125,Thousand USD
2007-07-31,Import payments of Agri. & Other Chemical,372083.034,Thousand USD
2007-08-31,Import payments of Agri. & Other Chemical,354750.673,Thousand USD
2007-09-30,Import payments of Agri. & Other Chemical,393807.621,Thousand USD
2007-10-31,Import payments of Agri. & Other Chemical,481133.343,Thousand USD
2007-11-30,Import payments of Agri. & Other Chemical,501129.897,Thousand USD
2007-12-31,Import payments of Agri. & Other Chemical,339339.951,Thousand USD
2008-01-31,Import payments of Agri. & Other Chemical,462507.833,Thousand USD
2008-02-29,Import payments of Agri. & Other Chemical,384669.031,Thousand USD
2008-03-31,Import payments of Agri. & Other Chemical,504528.706,Thousand USD
2008-04-30,Import payments of Agri. & Other Chemical,493172.25,Thousand USD
2008-05-31,Import payments of Agri. & Other Chemical,387086.25,Thousand USD
2008-06-30,Import payments of Agri. & Other Chemical,437463.978,Thousand USD
2008-07-31,Import payments of Agri. & Other Chemical,510867.361,Thousand USD
2008-08-31,Import payments of Agri. & Other Chemical,462159.083,Thousand USD
2008-09-30,Import payments of Agri. & Other Chemical,568234.68,Thousand USD
2008-10-31,Import payments of Agri. & Other Chemical,461071.05,Thousand USD
2008-11-30,Import payments of Agri. & Other Chemical,354007.145,Thousand USD
2008-12-31,Import payments of Agri. & Other Chemical,382475.933,Thousand USD
2009-01-31,Import payments of Agri. & Other Chemical,425351.837,Thousand USD
2009-02-28,Import payments of Agri. & Other Chemical,267404.582,Thousand USD
2009-03-31,Import payments of Agri. & Other Chemical,345853.23,Thousand USD
2009-04-30,Import payments of Agri. & Other Chemical,333063.396,Thousand USD
2009-05-31,Import payments of Agri. & Other Chemical,340213.473,Thousand USD
2009-06-30,Import payments of Agri. & Other Chemical,397172.507,Thousand USD
2009-07-31,Import payments of Agri. & Other Chemical,481327.855,Thousand USD
2009-08-31,Import payments of Agri. & Other Chemical,434167.928,Thousand USD
2009-09-30,Import payments of Agri. & Other Chemical,438981.103,Thousand USD
2009-10-31,Import payments of Agri. & Other Chemical,445400.801,Thousand USD
