"Dataset","Series Key","Series","Observation Date","Observation Value","Unit","Observation Status","Observation Status Comment"
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Aug-2014","-194547.4","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Jul-2014","64730","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Jun-2014","-29780","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-May-2014","-27280","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Apr-2014","-9360","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Mar-2014","77160","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","28-Feb-2014","135250","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Jan-2014","61872.37273","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Dec-2013","274765.3957","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Nov-2013","73382.24132","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Oct-2013","-7995.582742","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Sep-2013","113479.9729","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Aug-2013","76127.69453","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Jul-2013","91977.37412","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Jun-2013","38588.26023","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-May-2013","125703.8696","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Apr-2013","122087.2328","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Mar-2013","144874.2919","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","28-Feb-2013","151145.7384","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Jan-2013","108519.0139","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Dec-2012","185746.0688","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Nov-2012","182537.3101","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Oct-2012","162713.365","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Sep-2012","311118.9491","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Aug-2012","68501.65198","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Jul-2012","70755.32708","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Jun-2012","119723.8157","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-May-2012","20413.81567","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Apr-2012","158323.8157","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Mar-2012","178363.8188","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","29-Feb-2012","219903.8188","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Jan-2012","106383.8188","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Dec-2011","254060","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Nov-2011","68810","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Oct-2011","108380","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Sep-2011","-41642.15846","Thousand USD","Normal",""
