IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,RATE_PER_100000_N
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,212,COUNTRY,PUBLISHED,Road traffic deaths,Dominica,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,214,COUNTRY,PUBLISHED,Road traffic deaths,Dominican Republic,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,218,COUNTRY,PUBLISHED,Road traffic deaths,Ecuador,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,222,COUNTRY,PUBLISHED,Road traffic deaths,El Salvador,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,226,COUNTRY,PUBLISHED,Road traffic deaths,Equatorial Guinea,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,231,COUNTRY,PUBLISHED,Road traffic deaths,Ethiopia,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,232,COUNTRY,PUBLISHED,Road traffic deaths,Eritrea,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,233,COUNTRY,PUBLISHED,Road traffic deaths,Estonia,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,242,COUNTRY,PUBLISHED,Road traffic deaths,Fiji,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,246,COUNTRY,PUBLISHED,Road traffic deaths,Finland,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,250,COUNTRY,PUBLISHED,Road traffic deaths,France,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,262,COUNTRY,PUBLISHED,Road traffic deaths,Djibouti,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,266,COUNTRY,PUBLISHED,Road traffic deaths,Gabon,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,268,COUNTRY,PUBLISHED,Road traffic deaths,Georgia,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,270,COUNTRY,PUBLISHED,Road traffic deaths,Gambia,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,275,NATIONAL LIBERATION MOVEMENT,PUBLISHED,Road traffic deaths,"occupied Palestinian territory, including east Jerusalem",
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,276,COUNTRY,PUBLISHED,Road traffic deaths,Germany,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,288,COUNTRY,PUBLISHED,Road traffic deaths,Ghana,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,296,COUNTRY,PUBLISHED,Road traffic deaths,Kiribati,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,300,COUNTRY,PUBLISHED,Road traffic deaths,Greece,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,308,COUNTRY,PUBLISHED,Road traffic deaths,Grenada,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,320,COUNTRY,PUBLISHED,Road traffic deaths,Guatemala,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,324,COUNTRY,PUBLISHED,Road traffic deaths,Guinea,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,328,COUNTRY,PUBLISHED,Road traffic deaths,Guyana,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,332,COUNTRY,PUBLISHED,Road traffic deaths,Haiti,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,340,COUNTRY,PUBLISHED,Road traffic deaths,Honduras,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,344,SPECIAL ADMINISTRATIVE REGION (SAR),PUBLISHED,Road traffic deaths,"China, Hong Kong SAR",
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,348,COUNTRY,PUBLISHED,Road traffic deaths,Hungary,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,762,COUNTRY,PUBLISHED,Road traffic deaths,Tajikistan,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,764,COUNTRY,PUBLISHED,Road traffic deaths,Thailand,
